9-9 (111),9,9,9,9,9,9,9,9,9,9,12,12,12,12,12
8-8 (100),8,8,8,8,8,8,12,12,12,12,12,12
7-7 (110),7,7,7,7,11,11,11,11,11,11,12,12
7-7 (211),7,7,7,7,9,9,9,12,12,12,13,13
7-10 (211),7,10,7,7,9,9,9,9,10,10,12,12,12,12,12
9-10 (211),9,10,7,7,7,9,9,10,10,12,12,12,12,12,12,12
6-7 (532),6,7,12,12,9,9,8,11,10,10,8
6-8 (532),6,8,12,10,7,9,11,12,12,10,9,7
7-8 (532),7,8,9,9,6,12,12,10,11,6,9,10,12
7-10 (532),7,10,8,9,9,6,12,12,11,9,9,10,12,12,12
6-10 (532),6,10,7,9,8,12,11,10,9,8,9,12,12,12
8-10 (532),8,10,6,12,10,11,9,9,6,7,12,12,12,12,11
